h,RMSE,R2
113,6.296714740470129,0.7910236684258586
114,7.016427379343886,0.8076861914472555
115,7.154111129911787,0.733430599521466
116,5.26297838144365,0.5448337610902276
117,3.0247230645408254,0.4128012477220211
118,2.618411211511735,0.24201567069459273
119,2.5445641774282386,0.2478827793759104
120,2.2073728960637853,0.3604735281521151
121,1.6801180432753813,0.5445439192126164
122,1.8741197177265894,0.5100855288435713
123,1.877197973696124,0.5162980239668883
124,1.883188118505327,0.5140808597761493
125,1.8835135662352167,0.5142436102104172
126,2.282965221188513,0.3907592643035869
127,3.0597818412907105,0.7642124669987937
128,5.465041332988197,0.7978257158921356
129,7.018695707328457,0.7485743609194392
130,7.259727757957215,0.6578097033021686
131,5.548086576486618,0.5118174215368101
132,3.525877730498138,0.4300820916215863
133,3.579660071299004,0.4446098545029058
134,3.6252542977035493,0.49761580631904945
135,4.335008295144379,0.6505303366630564
136,5.615560488481541,0.768325963893599
137,6.293789382882294,0.7912643612233915
138,7.008025153780017,0.8076613249501962
139,7.1299771906999325,0.7334916325003433
140,5.22596924094057,0.5426518218856079
141,3.016142530240577,0.41330888303638
142,2.618292275290936,0.24118120702742907
143,2.545019882136386,0.24717988144411163
144,2.2090000035130206,0.3599373772850357
145,1.684418529879922,0.5430189231795576
146,1.8796341045450866,0.5084884066725218
147,1.8793493857109196,0.5155035995017695
148,1.8848631552671582,0.5132255640208214
149,1.8845529685843103,0.5139021258094998
150,2.2816915299537457,0.387483371559859
151,3.0307474365998175,0.7656802076857444
152,5.461994484789551,0.7968831342716979
153,7.013816709837697,0.7478654074174904
154,7.250734230914506,0.6577735679098959
155,5.55435760091021,0.5127601082169508
156,3.529787224746369,0.4310102637578793
157,3.5886629155489884,0.4470749172390338
158,3.6326553366262493,0.5010319109872374
159,4.328403578523402,0.6545329379192355
160,5.615177982130587,0.7687158541882779
161,6.290152672609167,0.791373447454206
162,6.999564800819143,0.8078382091756522
163,7.123705688500131,0.7322426594115121
164,5.213426108374103,0.5404841281913484
165,3.0161211816715943,0.4134505083520912
166,2.6223458291854893,0.24036327662996138
167,2.5545192750242243,0.24553372294061204
168,2.2070170095889954,0.3599340916665741
